Risk Tolerance Score,Risk Capacity Score,Expected Return,Annualized Return,Benchmark Annualized Return,Expected Volatility,Volatility,Benchmark Volatility,Expected Sharpe Ratio,Sharpe Ratio,Benchmark Sharpe Ratio,Max Drawdown,Alpha,Beta
0.72,0.73,44.00%,45.00%,14.00%,16.00%,16.00%,17.00%,2.45,2.51,0.57,-0.08,0.35,0.65
0.74,0.67,43.00%,44.00%,14.00%,16.00%,16.00%,17.00%,2.44,2.5,0.57,-0.08,0.34,0.64
0.7,0.55,39.00%,40.00%,14.00%,14.00%,15.00%,17.00%,2.41,2.47,0.57,-0.07,0.31,0.58
0.72,0.56,40.00%,41.00%,14.00%,15.00%,15.00%,17.00%,2.42,2.48,0.57,-0.07,0.31,0.59
0.7,0.46,36.00%,38.00%,14.00%,14.00%,14.00%,17.00%,2.35,2.42,0.57,-0.06,0.28,0.54
0.72,0.47,38.00%,39.00%,14.00%,14.00%,14.00%,17.00%,2.39,2.45,0.57,-0.07,0.3,0.55
0.64,0.71,41.00%,43.00%,14.00%,15.00%,15.00%,17.00%,2.44,2.5,0.57,-0.07,0.33,0.62
0.66,0.7,42.00%,43.00%,14.00%,15.00%,15.00%,17.00%,2.44,2.51,0.57,-0.07,0.33,0.61
0.62,0.54,36.00%,38.00%,14.00%,14.00%,14.00%,17.00%,2.35,2.42,0.57,-0.06,0.28,0.54
0.64,0.55,38.00%,39.00%,14.00%,14.00%,14.00%,17.00%,2.39,2.45,0.57,-0.07,0.3,0.55
0.64,0.45,34.00%,35.00%,14.00%,13.00%,13.00%,17.00%,2.28,2.34,0.57,-0.06,0.26,0.51
0.66,0.46,36.00%,37.00%,14.00%,13.00%,14.00%,17.00%,2.33,2.39,0.57,-0.06,0.28,0.53
0.55,0.72,40.00%,41.00%,14.00%,15.00%,15.00%,17.00%,2.42,2.48,0.57,-0.07,0.31,0.59
0.57,0.71,40.00%,41.00%,14.00%,15.00%,15.00%,17.00%,2.42,2.48,0.57,-0.07,0.31,0.59
0.51,0.51,32.00%,34.00%,14.00%,13.00%,13.00%,17.00%,2.22,2.28,0.57,-0.06,0.25,0.51
0.53,0.52,34.00%,35.00%,14.00%,13.00%,13.00%,17.00%,2.28,2.34,0.57,-0.06,0.26,0.51
0.49,0.44,29.00%,30.00%,14.00%,12.00%,12.00%,17.00%,2.07,2.13,0.57,-0.06,0.21,0.47
0.51,0.45,31.00%,32.00%,14.00%,12.00%,12.00%,17.00%,2.14,2.2,0.57,-0.06,0.23,0.49
0.43,0.66,34.00%,35.00%,14.00%,13.00%,13.00%,17.00%,2.28,2.34,0.57,-0.06,0.26,0.51
0.45,0.67,36.00%,37.00%,14.00%,13.00%,14.00%,17.00%,2.33,2.39,0.57,-0.06,0.28,0.53
0.4,0.5,28.00%,29.00%,14.00%,12.00%,12.00%,17.00%,2.02,2.08,0.57,-0.06,0.2,0.47
0.43,0.51,29.00%,30.00%,14.00%,12.00%,12.00%,17.00%,2.07,2.13,0.57,-0.06,0.21,0.47
0.4,0.41,23.00%,24.00%,14.00%,11.00%,11.00%,17.00%,1.73,1.78,0.57,-0.05,0.16,0.42
0.43,0.42,26.00%,27.00%,14.00%,11.00%,12.00%,17.00%,1.9,1.95,0.57,-0.06,0.18,0.47
0.32,0.69,32.00%,34.00%,14.00%,13.00%,13.00%,17.00%,2.22,2.28,0.57,-0.06,0.24,0.51
0.38,0.68,34.00%,35.00%,14.00%,13.00%,13.00%,17.00%,2.28,2.34,0.57,-0.06,0.26,0.51
0.36,0.47,25.00%,26.00%,14.00%,11.00%,12.00%,17.00%,1.85,1.9,0.57,-0.06,0.18,0.45
0.38,0.48,26.00%,27.00%,14.00%,11.00%,12.00%,17.00%,1.91,1.96,0.57,-0.06,0.18,0.46
0.32,0.37,15.00%,16.00%,14.00%,10.00%,10.00%,17.00%,1.08,1.12,0.57,-0.06,0.08,0.42
0.36,0.38,19.00%,20.00%,14.00%,11.00%,11.00%,17.00%,1.41,1.45,0.57,-0.05,0.12,0.39
